name; price
Samsung C49HG90 124,5cm(49") UWFHD curved Gaming-Monitor FreeSync 144Hz 1ms;1.101,00
EIZO FORIS FS2434 60cm/24" Full-HD IPS Gaming Monitor mit 2xHDMI;337,00
ACER GF246bmipx  61cm (24") FHD Gaming-Monitor FreeSync 75Hz 1ms HDMI/DP 16:9;150,90
ASUS PG278QR 68,6cm (27") WQHD Gaming Monitor G-Sync 3D 144Hz 1ms HDMI/DP 16:9;631,00
ASUS VG248QE 61 cm (24") FHD Gaming-Monitor 3D 144Hz 1ms DVI/HDMI/DP 16:9 350cd;273,00
ACER Predator XB271HU 69cm (27") WQHD Gaming-Monitor G-Sync 165Hz 4ms HDMI/DP;760,00
ACER Predator XB281HK 71cm (28") 4K Gaming-Monitor G-Sync 60Hz 1ms HDMI/DP 16:9;500,00
ACER KG251Q 62cm (24,5") FHD Gaming-Monitor FreeSync 75Hz 1ms HDMI/DP 16:9;139,00
ACER Predator GN246HLBbid 61cm (24") FHD Gaming-Monitor 3D 144Hz 1ms  HDMI;139,00
ASUS PG348Q 86,4cm (34") QHD curved Gaming-Monitor G-Sync 100Hz 5ms HDMI/DP 21:9;1.041,00
ACER Predator XB271HUAbmiprz 69cm (27") WQHD Gaming-Monitor G-Sync 144Hz 1ms;570,00
ACER Predator XB241Hbmipr 61cm (24") FHD Gaming-Monitor G-Sync 3D 144Hz 1ms HDMI;397,00
ASUS PG279Q ROG Swift 68,6 cm (27") 16:9 WQHD DP/HDMI/USB 4ms 100Mio:1 165hz;397,00
LG Ultrawide 29UM69G 73,66cm (29") UWHD Gaming-Monitor FreeSync 75Hz 5ms HDMI/DP;279,00
ACER XR342CKbmijpphz 86,4cm (34") UWQHD curved Gaming-Monitor FreeSync 75Hz;699,00
Predator Z35P 89cm (35") curved Gaming-Monitior G-Sync 120Hz 4ms HDMI/DP 21:9;1.039,00
ASUS PG248Q 61cm (24") FHD Gaming-Monitor G-Sync 180Hz 1ms HDMI/DP 16:9 350cd;478,00
ACER XF270HB 68.6cm (27") FHD Gaming-Monitor FreeSync 144Hz 1ms HDMI/DP 16:9;278,00
LG 34UC89G-B 86,4cm (34") UWHD curved Gaming-Monitor G-Sync HDMI/DP 99% sRGB;278,00
ACER KG281K 71cm (28") UHD Gaming-Monitor FreeSync 1ms HDMI/DP 330cd/mÂ² TN;293,00
ACER XZ321QU  80cm (31,5") WQHD curved Gaming-Monitor FreeSync 144Hz 4m;293,00
LG Electronics 24GM79G-B 61cm (24") FHD Gaming-Monitor FreeSync 144Hz 1ms HDMI;273,00
ACER Predator XZ271 69cm (27") FHD curved Gaming-Monitor FreeSync 144Hz 4ms HDMI;322,00
Samsung S25HG50 62,2cm(25") Gaming-Monitor mit DP/HDMI/144Hz/1ms/AMD FreeSync;340,00
